#TYPE System.Management.Automation.PSCustomObject
"Port","Protocol","H1","Description","Status"
"","","","Enemy Territory and id Software?s Quake III Arena, Quake III and Quake Live",""
"","","","and some ioquake3 derived games (OpenArena incoming)",""
"28000","","","Bitfighter Common/default","Port is not officialy registered by IANA for this application"
"","","","Bitfighter Server",""
"28001","","","Starsiege: Tribes Common/default","Port is not officialy registered by IANA for this application"
"","","","Tribes v.1 Server",""
"28395","TCP","","www.SmartSystemsLLC.com Used by","Port is not officialy registered by IANA for this application"
"","","","Smart Sale 5.0",""
"28785","","UDP","Cube 2 Sauerbraten 90","Port is not officialy registered by IANA for this application"
"28786","","UDP","Cube 2 Sauerbraten Port 2","Port is not officialy registered by IANA for this application"
"","","","90",""
"28852","TCP","UDP","Killing Floor","Port is not officialy registered by IANA for this application"
"28910","","","Nintendo Wi-Fi Connection","Port is not officialy registered by IANA for this application"
"28960","","UDP","Call of Duty; Call of Duty:","Port is not officialy registered by IANA for this application"
"","","","United Offensive; Call of Duty 2; Call of Duty 4: Modern Warfare; Call of",""
"","","","Duty: World at War (PC Version)",""
"29000","","","Perfect World International Used","Port is not officialy registered by IANA for this application"
"","","","by the Perfect World International Client",""
"29900-29901","","","Nintendo Wi-Fi Connection","Port is not officialy registered by IANA for this application"
"29920","","","Nintendo Wi-Fi Connection","Port is not officialy registered by IANA for this application"
"30000","","","Pok?mon Netbattle","Port is not officialy registered by IANA for this application"
"30301","","","BitTorrent","Port is not officialy registered by IANA for this application"
"30564","TCP","","Multiplicity:","Port is not officialy registered by IANA for this application"
"","","","keyboard/mouse/clipboard sharing software",""
"30718","","UDP","Lantronix Discovery for","Port is not officialy registered by IANA for this application"
"","","","Lantronix serial-to-ethernet devices",""
"30777","TCP","","ZangZing agent","Port is not officialy registered by IANA for this application"
"31337","TCP","","Back Orifice?remote","Port is not officialy registered by IANA for this application"
"","","","administration tool (often Trojan horse)",""
"31415","","","ThoughtSignal?Server","Port is not officialy registered by IANA for this application"
"","","","Communication Service (often Informational)",""
"31456","TCP","","TetriNET IRC gateway on some","Port is not officialy registered by IANA for this application"
"","","","servers",""
"31457","TCP","","TetriNET","Port is officialy registered by IANA for this application"
"31458","TCP","","TetriNET Used for game","Port is not officialy registered by IANA for this application"
"","","","spectators",""
"32123","TCP","","x3Lobby Used by x3Lobby, an","Port is not officialy registered by IANA for this application"
"","","","internet application.",""
"32245","TCP","","MMTSG-mutualed over MMT","Port is not officialy registered by IANA for this application"
"","","","(encrypted transmission)",""
"32769","TCP","","FileNet RPC","Port is not officialy registered by IANA for this application"
"32976","TCP","","LogMeIn Hamachi (VPN tunnel","Port is not officialy registered by IANA for this application"
"","","","software; also port 12975)?used to connect to Mediation Server",""
"","","","(bibi.hamachi.cc); will attempt to use SSL (TCP port 443) if both 12975 &",""
"","","","32976 fail to connect",""
"33434","TCP","UDP","traceroute","Port is officialy registered by IANA for this application"
"33982","TCP","UDP","Dezta software","Port is not officialy registered by IANA for this application"
"34443","","","Linksys PSUS4 print server","Port is not officialy registered by IANA for this application"
"34567","TCP","","dhanalakshmi.org EDI service","Port is officialy registered by IANA for this application"
"","","","91",""
"36963","","UDP","Any of the USGN online games,","Port is not officialy registered by IANA for this application"
"","","","most notably Counter Strike 2D multiplayer (2D clone of popular CounterStrike",""
"","","","computer game)",""
"37659","TCP","","Axence nVision","Port is not officialy registered by IANA for this application"
"37777","TCP","","Digital Video Recorder hardware","Port is not officialy registered by IANA for this application"
"40000","TCP","UDP","SafetyNET p Real-time Industrial","Port is officialy registered by IANA for this application"
"","","","Ethernet protocol",""
"41823","TCP","UDP","Murealm Client","Port is not officialy registered by IANA for this application"
"43047","TCP","","The?sMessenger second port for","Port is officialy registered by IANA for this application"
"","","","service The?sMessenger",""
"43048","TCP","","The?sMessenger third port for","Port is officialy registered by IANA for this application"
"","","","service The?sMessenger",""
"43594?4359","TCP","","Jagex, RuneScape, FunOrb, etc.","Port is not officialy registered by IANA for this application"
"47001","TCP","","WinRM ? Windows Remote","Port is officialy registered by IANA for this application"
"","","","Management Service 92",""
"47808","TCP","UDP","BACnet Building Automation and","Port is officialy registered by IANA for this application"
"","","","Control Networks (4780810 = BAC016)",""
"49151","TCP","UDP","The Internet Assigned Numbers","Port is officialy registered by IANA for this application"
"","","","Authority (IANA) port number reserver",""
